provider_id,year_month,days_reported,avg_daily_census,total_nurse_hours,total_contract_nurse_hours,avg_total_nurse_hours_per_resident_day,avg_rn_hours_per_resident_day,avg_contract_staff_ratio,provider_name,state,city,county,ownership_type,provider_type,certified_bed_count,overall_rating,staffing_rating,quality_measure_rating,bed_utilization_rate
015009,2024-04,30,52.53333333333333,6156.11,0.0,3.9058830832826206,0.9962092059548405,0.0,"BURNS NURSING HOME, INC.",AL,,,For profit - Corporation,Medicare and Medicaid,57.0,2.0,4.0,4.0,0.9216374269005848
015009,2024-05,31,52.16129032258065,6351.22,0.0,3.9282553057066822,0.9718513706386249,0.0,"BURNS NURSING HOME, INC.",AL,,,For profit - Corporation,Medicare and Medicaid,57.0,2.0,4.0,4.0,0.9151103565365026
015009,2024-06,30,55.2,6647.92,0.0,4.018812432326233,0.8703860909884842,0.0,"BURNS NURSING HOME, INC.",AL,,,For profit - Corporation,Medicare and Medicaid,57.0,2.0,4.0,4.0,0.968421052631579
015010,2024-04,30,78.03333333333333,9014.25,0.0,3.851392684747078,0.35257256109254315,0.0,COOSA VALLEY HEALTHCARE CENTER,AL,,,For profit - Corporation,Medicare and Medicaid,85.0,4.0,3.0,3.0,0.9180392156862744
015010,2024-05,31,76.61290322580645,8919.0,0.0,3.757336716077314,0.3448821779448136,0.0,COOSA VALLEY HEALTHCARE CENTER,AL,,,For profit - Corporation,Medicare and Medicaid,85.0,4.0,3.0,3.0,0.9013282732447817
015010,2024-06,30,77.83333333333333,8731.0,0.0,3.7382905797385404,0.3422341699719513,0.0,COOSA VALLEY HEALTHCARE CENTER,AL,,,For profit - Corporation,Medicare and Medicaid,85.0,4.0,3.0,3.0,0.9156862745098039
015012,2024-04,30,46.8,5556.49,0.0,3.9624821224549867,0.6847048288949009,0.0,HIGHLANDS HEALTH AND REHAB,AL,,,Government - County,Medicare and Medicaid,50.0,4.0,3.0,2.0,0.9359999999999999
015012,2024-05,31,43.03225806451613,5881.3,0.0,4.432148892426103,0.8020212536767243,0.0,HIGHLANDS HEALTH AND REHAB,AL,,,Government - County,Medicare and Medicaid,50.0,4.0,3.0,2.0,0.8606451612903225
015012,2024-06,30,43.43333333333333,6088.95,0.0,4.702115835518807,0.8696625046760459,0.0,HIGHLANDS HEALTH AND REHAB,AL,,,Government - County,Medicare and Medicaid,50.0,4.0,3.0,2.0,0.8686666666666666
015014,2024-04,30,74.16666666666667,7454.48,0.0,3.352312976603135,0.5931733332683802,0.0,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,,,For profit - Individual,Medicare and Medicaid,92.0,2.0,1.0,2.0,0.8061594202898551
015014,2024-05,31,72.61290322580645,7273.22,0.0,3.233014513609466,0.5292539332902985,0.0,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,,,For profit - Individual,Medicare and Medicaid,92.0,2.0,1.0,2.0,0.7892706872370266
015014,2024-06,30,71.56666666666666,7050.22,0.0,3.284189132282278,0.4898473244847063,0.0,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,,,For profit - Individual,Medicare and Medicaid,92.0,2.0,1.0,2.0,0.7778985507246376
015015,2024-04,30,91.63333333333334,8826.82,0.0,3.211286266471873,0.3651552326527151,0.0,PLANTATION MANOR NURSING HOME,AL,,,For profit - Individual,Medicare and Medicaid,103.0,2.0,4.0,2.0,0.8896440129449839
015015,2024-05,31,90.90322580645162,8683.39,0.0,3.0825961149137577,0.38666069689140126,0.0,PLANTATION MANOR NURSING HOME,AL,,,For profit - Individual,Medicare and Medicaid,103.0,2.0,4.0,2.0,0.8825555903538992
015015,2024-06,30,93.03333333333333,8740.85,0.0,3.1341810753070702,0.402602922759016,0.0,PLANTATION MANOR NURSING HOME,AL,,,For profit - Individual,Medicare and Medicaid,103.0,2.0,4.0,2.0,0.9032362459546925
015016,2024-04,30,125.43333333333334,13198.57,0.0,3.5072135218671283,0.49168389721082584,0.0,ATHENS HEALTH AND REHABILITATION LLC,AL,,,For profit - Corporation,Medicare and Medicaid,149.0,5.0,3.0,5.0,0.841834451901566
